 自然科学启蒙第1辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,NAN,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,0.9
 你不可不知的动物之谜 世界未解之谜 中小学生科普读物少儿百科三四五六年级课外阅读书 少年探索发现系列,¥15.80,汕头大学出版社,卜文智、赵辉,1.0
 你不可不知的宝藏之谜 世界未解之谜 中小学生科普读物少儿百科三四五六年级课外阅读书 少年探索发现系列,¥15.80,汕头大学出版社,马小琪,1.0
 听李毓佩教授讲数学故事数学司令小眼镜科普读物2-3-4-5-6岁童书扫码听书,¥22.50,广州出版社,李毓佩,1.0
 听李毓佩教授讲数学故事数学迷历险记科普读物2-3-4-5-6岁扫码听书,¥22.50,广州出版社,李毓佩,1.0
 听李毓佩教授讲数学故事兵发爱数王国科普读物2-3-4-5-6岁童书扫码听书,¥22.50,广州出版社,李毓佩,1.0
 听李毓佩教授讲数学故事哪吒智斗红孩儿科普读物2-3-4-5-6岁童书扫码听书,¥22.50,广州出版社,李毓佩,1.0
 自然科学启蒙第2辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,北京联合出版公司,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,1.0
 自然科学启蒙第4辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,北京联合出版公司,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,1.0
 十万个为什么（青少版）（全4册）――影响孩子一生的经典科普读物,¥102.40,北京教育出版社,主编/张丽丽,1.0
 自然科学启蒙第3辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,北京联合出版公司,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,1.0
 自然科学启蒙第7辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,北京联合出版公司,（美）弗兰克林 . 布兰利 博士 等编绘 ，范晓星 等 译,1.0
 奶牛--生产性能测定科普读物,¥10.60,中国农业出版社,陈伟生，魏克佳 著,1.0
 恐龙世界探险日记/神奇科学探险之旅/青少年科普读物/写给儿童的小百科故事/张康/郑方圆/编著,¥29.20,浙江科学技术出版社,张康，郑方圆编著,0.0
 自然科学启蒙第6辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,北京联合出版公司,保罗・肖沃斯 等著，陈蕙慧 等译,1.0
 自然科学启蒙第5辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,北京联合出版公司,温迪・普费弗 等著，杨晶 等译,1.0
 自然科学启蒙第8辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,北京联合出版公司,（美）弗兰克林 . 布兰利 博士 等编绘 ，范晓星 等译,1.0
 欢乐农家系列农业科普读物（全八册）,¥147.80,中国农业出版社,刘国民 编,0.0
 自然科学启蒙第11辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,北京联合出版公司,（美）弗兰克林 . 布兰利 博士 等编绘,1.0
 自然科学启蒙第9辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,NAN,（美）凯瑟琳.佐伊费尔德等著 ，王启荣 等 译,1.0
 自然科学启蒙第10辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,NAN,（美）安妮 罗克韦尔 等著，范晓星 等译,1.0
 自然科学启蒙第13辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥88.20,NAN,[美]莫尔文・博尔格等 著，王玲月等 译,1.0
 神奇校车・手工益智版（全15册）,¥222.80,贵州人民出版社,（美）乔安娜・柯尔 文；（美）布鲁斯・迪根 图 ； 漆仰平 许若青 静博 刘畅 译,1.0
 万物丛书 探索奇妙科技 环球科学青少版 世界科普读物How It Works中文版,¥69.00,机械工业出版社,万物编辑部,0.0
 有趣得让人睡不着科普系列（中小学生经典读物全8册，数学、物理、地理、科学、天文、生物、进化论、植物）,¥151.10,北京时代华文书局,[日] 左卷健男，[日] 竹内�`，[日] 樱井进 等,0.9
 很杂很杂的杂学知识：拿得起放不下的学问书（让百度疯狂，谷歌抽搐的杂学百科！一书在手，让你成为异性眼中的“博学红人”，社,¥28.40,中国画报出版社,张立辉 编著 知书达礼 出品,0.9
 1分钟物理：“中科院物理所”趣味科普专栏【第一辑】,¥46.50,北京联合出版有限公司,中科院物理所 编，未读 出品,1.0
 从一到无穷大（清华大学新生礼物，校长邱勇推荐！从一粒原子到无穷宇宙，一本书汇集人类认识世界、探索宇宙的方方面面）,¥51.00,天津人民出版社,乔治・伽莫夫，译者：阳曦，果麦文化 出品,1.0
 怪奇事物所（大张伟直播推荐）,¥55.10,国际文化出版公司,"怪奇事物所 著,博集天卷 出品",0.9
 一分钟物理科普读物最畅销科普书籍初中生必读课外书小学生课外阅读经典漫画学物理物理科普读物最畅销趣味科普书数理化科学世界,¥27.40,北京联合出版有限公司,中科院物理所 编，未读 出品,1.0
 水文知识科普读物,¥30.00,水利水电出版社,江西省水文局,0.0
